NAP	NAP	airport	Naples International	40.884444	14.290833	Naples	NAP	Italy	IT	Europe/Rome
NCE	NCE	airport	Nice Côte d Azur International	43.665278	7.215	Nice	NCE	France	FR	Europe/Paris
OVB	OVB	airport	Tolmachevo	55.0125	82.650556	Novosibirsk	OVB	Russia	RU	Asia/Krasnoyarsk
STR	STR	airport	Stuttgart	48.69	9.221944	Stuttgart	STR	Germany	DE	Europe/Berlin
SVQ	SVQ	airport	Seville	37.418056	-5.893056	Seville	SVQ	Spain	ES	Europe/Madrid
TSN	TSN	airport	Tianjin Binhai International	39.124444	117.346111	Tianjin	TSN	China	CN	Asia/Shanghai
VLC	VLC	airport	Valencia	39.489444	-0.481667	Valencia	VLC	Spain	ES	Europe/Madrid
AYT	AYT	airport	Antalya	36.898611	30.800556	Antalya	AYT	Turkey	TR	Europe/Istanbul
ARN	ARN	airport	Stockholm Arlanda	59.651944	17.918611	Stockholm	STO	Sweden	SE	Europe/Stockholm
SCL	SCL	airport	Comodoro Arturo Merino Benítez International	-33.393056	-70.785833	Santiago de Chile	SCL	Chile	CL	America/Santiago
SXF	SXF	airport	Berlin Schönefeld	52.378611	13.520556	Berlin	BER	Germany	DE	Europe/Berlin
BLQ	BLQ	airport	Bologna Guglielmo Marconi	44.530833	11.296944	Bologna	BLQ	Italy	IT	Europe/Rome
IAH	IAH	airport	George Bush Intercontinental	29.984444	-95.341389	Houston	HOU	United States	US	America/Chicago
CEB	CEB	airport	Mactan–Cebu International	10.3075	123.979444	Cebu	CEB	Philippines	PH	Asia/Manila
CLT	CLT	airport	Charlotte Douglas International	35.213889	-80.943056	Charlotte	CLT	United States	US	America/New_York
SLC	SLC	airport	Salt Lake City International	40.788333	-111.97778	Salt Lake City	SLC	United States	US	America/Denver
DTW	DTW	airport	Detroit Metropolitan	42.2125	-83.353333	Detroit	DTT	United States	US	America/New_York
FUK	FUK	airport	Fukuoka	33.585833	130.450556	Fukuoka	FUK	Japan	JP	Asia/Tokyo
XMN	XMN	airport	Xiamen Gaoqi International	24.544167	118.127778	Xiamen	XMN	China	CN	Asia/Shanghai
GDN	GDN	airport	Gdańsk Lech Wałęsa	54.3775	18.466111	Gdańsk	GDN	Poland	PL	Europe/Warsaw
GOT	GOT	airport	Göteborg Landvetter	57.662778	12.279722	Gothenburg	GOT	Sweden	SE	Europe/Stockholm
NRT	NRT	airport	Narita International	35.764722	140.386389	Tokyo	TYO	Japan	JP	Asia/Tokyo
KIX	KIX	airport	Kansai International	34.427222	135.244167	Osaka	OSA	Japan	JP	Asia/Tokyo
KRK	KRK	airport	John Paul II International Airport Kraków–Balice	50.077778	19.784722	Kraków	KRK	Poland	PL	Europe/Warsaw
KTW	KTW	airport	Katowice International	50.474167	19.08	Katowice	KTW	Poland	PL	Europe/Warsaw
LCA	LCA	airport	Larnaca International	34.875	33.624722	Larnaca	LCA	Cyprus	CY	Asia/Nicosia
LPA	LPA	airport	Gran Canaria	27.931944	-15.386667	Las Palmas	LPA	Spain	ES	Atlantic/Canary
NKG	NKG	airport	Nanjing Lukou International	31.741944	118.861944	Nanjing	NKG	China	CN	Asia/Shanghai
RAK	RAK	airport	Marrakesh Menara	31.606944	-8.036389	Marrakesh	RAK	Morocco	MA	Africa/Casablanca
OKA	OKA	airport	Naha	26.195833	127.645833	Okinawa Island	OKA	Japan	JP	Asia/Tokyo
PEK	PEK	airport	Beijing Capital International	40.08	116.584444	Beijing	BJS	China	CN	Asia/Shanghai
NUE	NUE	airport	Nuremberg	49.498611	11.066944	Nuremberg	NUE	Germany	DE	Europe/Berlin
PDX	PDX	airport	Portland International	45.588611	-122.5975	Portland	PDX	United States	US	America/Los_Angeles
PER	PER	airport	Perth	-31.940278	115.966944	Perth	PER	Australia	AU	Australia/Perth
TPA	TPA	airport	Tampa International	27.975556	-82.533333	Tampa	TPA	United States	US	America/New_York
TLS	TLS	airport	Toulouse–Blagnac	43.635	1.367778	Toulouse	TLS	France	FR	Europe/Paris
VNO	VNO	airport	Vilnius	54.634167	25.285833	Vilnius	VNO	Lithuania	LT	Europe/Vilnius
BRS	BRS	airport	Bristol	51.3825	-2.718889	Bristol	BRS	United Kingdom	GB	Europe/London
SKG	SKG	airport	Thessaloniki International Airport  Macedonia 	40.519722	22.970833	Thessaloniki	SKG	Greece	GR	Europe/Athens
KBV	KBV	airport	Krabi	8.095833	98.988889	Krabi	KBV	Thailand	TH	Asia/Bangkok
AUH	AUH	airport	Abu Dhabi International	24.433056	54.651111	Abu Dhabi	AUH	United Arab Emirates	AE	Asia/Dubai
MSY	MSY	airport	Louis Armstrong New Orleans International	29.993333	-90.258056	New Orleans	MSY	United States	US	America/Chicago
NTE	NTE	airport	Nantes Atlantique	47.156944	-1.607778	Nantes	NTE	France	FR	Europe/Paris
AUS	AUS	airport	Austin–Bergstrom International	30.194444	-97.67	Austin	AUS	United States	US	America/Chicago
IAD	IAD	airport	Washington Dulles International	38.944444	-77.455833	Washington, D.C.	WAS	United States	US	America/New_York
TXL	TXL	airport	Berlin Tegel	52.559722	13.287778	Berlin	BER	Germany	DE	Europe/Berlin
BIO	BIO	airport	Bilbao	43.301111	-2.910556	Bilbao	BIO	Spain	ES	Europe/Madrid
BOD	BOD	airport	Bordeaux–Mérignac	44.828611	-0.715278	Bordeaux	BOD	France	FR	Europe/Paris
CSX	CSX	airport	Changsha Huanghua International	28.193611	113.217778	Changsha	CSX	China	CN	Asia/Shanghai
CLJ	CLJ	airport	Cluj International	46.785278	23.686111	Cluj-Napoca	CLJ	Romania	RO	Europe/Bucharest
CTA	CTA	airport	Catania–Fontanarossa	37.466667	15.063889	Catania	CTA	Italy	IT	Europe/Rome
FAO	FAO	airport	Faro	37.014444	-7.965833	Faro	FAO	Portugal	PT	Europe/Lisbon
FLR	FLR	airport	Florence	43.808611	11.202778	Florence	FLR	Italy	IT	Europe/Rome
MLE	MLE	airport	Velana International	4.191667	73.529167	Malé	MLE	Maldives	MV	Indian/Maldives
ROV	ROV	airport	Platov International Airport	47.493889	39.924722	Rostov-on-Don	ROV	Russia	RU	Europe/Moscow
HAJ	HAJ	airport	Hannover	52.460556	9.689444	Hanover	HAJ	Germany	DE	Europe/Berlin
HAV	HAV	airport	José Martí International	22.990278	-82.407778	Havana	HAV	Cuba	CU	America/Havana
IBZ	IBZ	airport	Ibiza	38.872778	1.373056	Ibiza	IBZ	Spain	ES	Europe/Madrid
KZN	KZN	airport	Kazan International	55.606111	49.278611	Kazan	KZN	Russia	RU	Europe/Moscow
USM	USM	airport	Samui	9.550278	100.0625	Ko Samui	USM	Thailand	TH	Asia/Bangkok
MLA	MLA	airport	Malta International	35.8575	14.4775	Valleta	MLA	Malta	MT	Europe/Malta
PNH	PNH	airport	Phnom Penh International	11.546667	104.844167	Phnom Penh	PNH	Cambodia	KH	Asia/Phnom_Penh
PVD	PVD	airport	T. F. Green	41.725	-71.425833	Providence	PVD	United States	US	America/New_York
PVG	PVG	airport	Shanghai Pudong International	31.143333	121.805278	Shanghai	SHA	China	CN	Asia/Shanghai
TAO	TAO	airport	Qingdao Liuting International	36.266111	120.374444	Qingdao	TAO	China	CN	Asia/Shanghai
TBS	TBS	airport	Tbilisi International	41.669167	44.954722	Tbilisi	TBS	Georgia	GE	Asia/Tbilisi
WUH	WUH	airport	Wuhan Tianhe International	30.783889	114.208056	Wuhan	WUH	China	CN	Asia/Shanghai
ADL	ADL	airport	Adelaide	-34.945	138.530556	Adelaide	ADL	Australia	AU	Australia/Adelaide
TFS	TFS	airport	Tenerife–South	28.044444	-16.5725	Tenerife	TCI	Spain	ES	Atlantic/Canary
JED	JED	airport	King Abdulaziz International	21.679444	39.156667	Jeddah	JED	Saudi Arabia	SA	Asia/Riyadh
BWI	BWI	airport	Baltimore–Washington International	39.175278	-76.668333	Washington, D.C.	WAS	United States	US	America/New_York
BSL	BSL	airport	EuroAirport Basel Mulhouse Freiburg	47.601111	7.521667	Basel	EAP	Switzerland	CH	Europe/Paris
BFS	BFS	airport	Belfast International	54.6575	-6.215833	Belfast	BFS	United Kingdom	GB	Europe/London
DMK	DMK	airport	Don Mueang International	13.9125	100.606667	Bangkok	BKK	Thailand	TH	Asia/Bangkok
HOU	HOU	airport	William P. Hobby	29.645556	-95.278889	Houston	HOU	United States	US	America/Chicago
NGO	NGO	airport	Chubu Centrair International	34.858333	136.805278	Nagoya	NGO	Japan	JP	Asia/Tokyo
GRU	GRU	airport	São Paulo–Guarulhos International	-23.431944	-46.469444	São Paulo	SAO	Brazil	BR	America/Sao_Paulo
PSA	PSA	airport	Pisa International	43.682778	10.395556	Pisa	PSA	Italy	IT	Europe/Rome
CVG	CVG	airport	Cincinnati/Northern Kentucky International	39.048889	-84.667778	Cincinnati	CVG	United States	US	America/New_York
EIN	EIN	airport	Eindhoven	51.45	5.374444	Eindhoven	EIN	Netherlands	NL	Europe/Amsterdam
EVN	EVN	airport	Zvartnots International	40.147222	44.395833	Yerevan	EVN	Armenia	AM	Asia/Yerevan
DOH	DOH	airport	Hamad International	25.274444	51.608333	Doha	DOH	Qatar	QA	Asia/Qatar
JNB	JNB	airport	O. R. Tambo International	-26.139167	28.246111	Johannesburg	JNB	South Africa	ZA	Africa/Johannesburg
HND	HND	airport	Haneda	35.552222	139.779722	Tokyo	TYO	Japan	JP	Asia/Tokyo
SJO	SJO	airport	Juan Santamaría International	9.993889	-84.208889	San José	SJO	Costa Rica	CR	America/Costa_Rica
SJC	SJC	airport	San Jose International	37.3625	-121.92889	San Jose	SJC	United States	US	America/Los_Angeles
KJA	KJA	airport	Yemelyanovo International	56.173056	92.493333	Krasnoyarsk	KJA	Russia	RU	Asia/Krasnoyarsk
KUF	KUF	airport	Kurumoch International	53.503889	50.151667	Samara	KUF	Russia	RU	Europe/Samara
LPL	LPL	airport	Liverpool John Lennon	53.333611	-2.849722	Liverpool	LPL	United Kingdom	GB	Europe/London
RDU	RDU	airport	Raleigh–Durham International	35.877778	-78.7875	Raleigh	RDU	United States	US	America/New_York
REP	REP	airport	Siem Reap International	13.410556	103.812778	Siem Reap	REP	Cambodia	KH	Asia/Phnom_Penh
RIX	RIX	airport	Riga International	56.923611	23.971111	Riga	RIX	Latvia	LV	Europe/Riga
RUH	RUH	airport	King Khalid International	24.957778	46.698889	Riyadh	RUH	Saudi Arabia	SA	Asia/Riyadh
SZG	SZG	airport	Salzburg	47.793333	13.004444	Salzburg	SZG	Austria	AT	Europe/Vienna
YUL	YUL	airport	Montréal–Pierre Elliott Trudeau International	45.470556	-73.740833	Montreal	YMQ	Canada	CA	America/Toronto
UFA	UFA	airport	Ufa International	54.5575	55.883889	Ufa	UFA	Russia	RU	Asia/Yekaterinburg
VVO	VVO	airport	Vladivostok International	43.398889	132.148056	Vladivostok	VVO	Russia	RU	Asia/Vladivostok
BRI	BRI	airport	Bari Karol Wojtyła	41.138056	16.765	Bari	BRI	Italy	IT	Europe/Rome
DTM	DTM	airport	Dortmund	51.518333	7.612222	Dortmund	DTM	Germany	DE	Europe/Berlin
HER	HER	airport	Heraklion International	35.339722	25.180278	Heraklion	HER	Greece	GR	Europe/Athens
LEJ	LEJ	airport	Leipzig/Halle Airport	51.4325	12.241667	Leipzig	LEJ	Germany	DE	Europe/Berlin
MSQ	MSQ	airport	Minsk National	53.8825	28.030833	Minsk	MSQ	Belarus	BY	Europe/Minsk
ACE	ACE	airport	Lanzarote	28.945556	-13.605278	Lanzarote	ACE	Spain	ES	Atlantic/Canary
DCA	DCA	airport	Ronald Reagan Washington National	38.852222	-77.037778	Washington, D.C.	WAS	United States	US	America/New_York
